entity,name,label,idAttribute,nillable,auto
novelomics-experiment,id,id,FALSE,TRUE,FALSE
novelomics-experiment,EGA,EGA,FALSE,TRUE,FALSE
novelomics-experiment,EGApath,EGA PATH,FALSE,TRUE,FALSE
novelomics-experiment,name,Filename,FALSE,TRUE,FALSE
novelomics-experiment,md5,md5,FALSE,TRUE,FALSE
novelomics-experiment,typeFile,typeFile,FALSE,TRUE,FALSE
novelomics-experiment,filegroupID,File Group ID,FALSE,TRUE,FALSE
novelomics-experiment,batchID,batchID,FALSE,TRUE,FALSE
novelomics-experiment,experimentID,experimentID,FALSE,TRUE,FALSE
novelomics-experiment,sampleID,sampleID,FALSE,TRUE,FALSE
novelomics-experiment,subjectID,SubjectID,FALSE,TRUE,FALSE
novelomics-experiment,sequencingCentre,SequencingCentre,FALSE,TRUE,FALSE
novelomics-experiment,sequencer,sequencer,FALSE,TRUE,FALSE
novelomics-experiment,libraryType,Library Source,FALSE,TRUE,FALSE
novelomics-experiment,capture,Enrichment Kit,FALSE,TRUE,FALSE
novelomics-experiment,seqType,seqType,FALSE,TRUE,FALSE
novelomics-experiment,library,library,FALSE,TRUE,FALSE
novelomics-experiment,tissueType,Tissue Types,FALSE,TRUE,FALSE
novelomics-experiment,materialType,materialType,FALSE,TRUE,FALSE
novelomics-experiment,project_batch_id,project_batch_id,FALSE,TRUE,FALSE
novelomics-experiment,run_ega_id,run_ega_id,FALSE,TRUE,FALSE
novelomics-experiment,experiment_ega_id,experiment_ega_id,FALSE,TRUE,FALSE
novelomics-experiment,molgenis_id,molgenis_id,TRUE,FALSE,TRUE